order_id,date,product_id,product_name,price,currency,category_id,category_name,subcategory_id,subcategory_name,store_id,store_name,city_id,city_name,country_id,country
CMT-36520,01/02/2020,P002,EconoTread,699.99,GBP,C01,Cardio Equipment,SC01,Treadmills,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CMT-36520,01/02/2020,P020,Door Anchor Straps,24.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CMT-36520,01/02/2020,P012,Olympic Flat Bench,179.99,GBP,C02,Strength Training,SC06,Weight Benches,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CMT-36520,01/02/2020,P012,Olympic Flat Bench,179.99,GBP,C02,Strength Training,SC06,Weight Benches,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
CMT-36520,01/02/2020,P005,Glide Elite Elliptical,999.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
MOF-12749,24/07/2020,P004,Recumbent Cycler,599.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S002,Muscle Mart,LA,Los Angeles,US,United States
MOF-12749,24/07/2020,P003,SpinMaster Bike,799.99,USD,C01,Cardio Equipment,SC02,Exercise Bikes,S002,Muscle Mart,LA,Los Angeles,US,United States
MOF-12749,24/07/2020,P016,Heavy Duty Resistance Tubes,39.99,USD,C03,Functional Fitness,SC08,Resistance Bands,S002,Muscle Mart,LA,Los Angeles,US,United States
VKL-97451,19/12/2022,P024,Mini Percussion Massager,79.99,GBP,C04,Recovery and Wellness,SC12,Massage Guns,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
GJO-36640,14/04/2022,P019,Pro Suspension Trainer,129.99,GBP,C03,Functional Fitness,SC10,Suspension Trainers,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
GJO-36640,14/04/2022,P005,Glide Elite Elliptical,999.99,GBP,C01,Cardio Equipment,SC03,Ellipticals,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
GJO-36640,14/04/2022,P017,Cast Iron Kettlebell 16kg,59.99,GBP,C03,Functional Fitness,SC09,Kettlebells,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
GJO-36640,14/04/2022,P026,Extra Thick Exercise Mat,49.99,GBP,C04,Recovery and Wellness,SC13,Yoga Mats,S005,Active Life Outfitters,MA,Manchester,UK,United Kingdom
